datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-04-22 11:30:00,NIFTY,NSE,,,,,24231.15,24242.25,24178.85,24186.1,,,80
2025-04-22 12:00:00,NIFTY,NSE,,,,,24184.6,24221.4,24166.15,24216.0,,,81
2025-04-22 12:30:00,NIFTY,NSE,,,,,24215.85,24218.75,24182.1,24194.55,,,82
2025-04-22 13:00:00,NIFTY,NSE,,,,,24193.6,24194.95,24175.5,24180.2,,,83
2025-04-22 13:30:00,NIFTY,NSE,,,,,24178.35,24197.55,24168.25,24190.25,,,84
2025-04-22 14:00:00,NIFTY,NSE,,,,,24190.35,24192.6,24173.6,24179.05,,,85
2025-04-22 14:30:00,NIFTY,NSE,,,,,24180.2,24189.4,24173.15,24179.05,,,86
2025-04-22 15:00:00,NIFTY,NSE,,,,,24179.5,24184.7,24144.05,24171.7,,,87
2025-04-22 15:30:00,NIFTY,NSE,,,,,24170.45,24181.0,24126.95,24141.2,,,88
2025-04-22 16:00:00,NIFTY,NSE,,,,,24141.2,24167.25,24141.2,24167.25,,,89
2025-04-23 07:30:00,NIFTY,NSE,,,,,24167.25,24167.25,24167.25,24167.25,,,90
2025-04-23 08:00:00,NIFTY,NSE,,,,,24167.25,24167.25,24167.25,24167.25,,,91
2025-04-23 08:30:00,NIFTY,NSE,,,,,24167.25,24167.25,24167.25,24167.25,,,92
2025-04-23 09:00:00,NIFTY,NSE,,,,,24167.25,24636.6,24167.25,24390.4,,,93
2025-04-23 09:30:00,NIFTY,NSE,,,,,24388.4,24405.8,24285.15,24313.95,,,94
2025-04-23 10:00:00,NIFTY,NSE,,,,,24312.5,24345.7,24265.2,24316.0,,,95
2025-04-23 10:30:00,NIFTY,NSE,,,,,24315.25,24318.25,24189.95,24232.05,,,96
2025-04-23 11:00:00,NIFTY,NSE,,,,,24231.75,24242.1,24120.15,24162.8,,,97
2025-04-23 11:30:00,NIFTY,NSE,,,,,24163.1,24219.2,24158.6,24193.65,,,98
2025-04-23 12:00:00,NIFTY,NSE,,,,,24193.9,24251.8,24188.6,24213.15,,,99
2025-04-23 12:30:00,NIFTY,NSE,,,,,24212.5,24226.65,24197.9,24210.7,,,100
2025-04-23 13:00:00,NIFTY,NSE,,,,,24210.15,24251.2,24207.95,24248.9,,,101
2025-04-23 13:30:00,NIFTY,NSE,,,,,24250.35,24266.75,24229.45,24261.9,,,102
2025-04-23 14:00:00,NIFTY,NSE,,,,,24261.85,24300.35,24251.0,24292.75,,,103
2025-04-23 14:30:00,NIFTY,NSE,,,,,24293.15,24314.8,24289.45,24310.4,,,104
2025-04-23 15:00:00,NIFTY,NSE,,,,,24311.0,24326.65,24278.8,24324.85,,,105
2025-04-23 15:30:00,NIFTY,NSE,,,,,24325.8,24340.25,24282.35,24282.35,,,106
2025-04-23 16:00:00,NIFTY,NSE,,,,,24282.35,24328.95,24282.35,24328.95,,,107
2025-04-24 07:30:00,NIFTY,NSE,,,,,24328.95,24328.95,24328.95,24328.95,,,108
2025-04-24 08:00:00,NIFTY,NSE,,,,,24328.95,24328.95,24328.95,24328.95,,,109
2025-04-24 08:30:00,NIFTY,NSE,,,,,24328.95,24328.95,24328.95,24328.95,,,110
2025-04-24 09:00:00,NIFTY,NSE,,,,,24328.95,24537.0,24328.95,24391.85,,,111
2025-04-24 09:30:00,NIFTY,NSE,,,,,24390.6,24390.6,24238.4,24254.4,,,112
2025-04-24 10:00:00,NIFTY,NSE,,,,,24254.75,24347.55,24239.7,24271.25,,,113
2025-04-24 10:30:00,NIFTY,NSE,,,,,24272.45,24313.1,24262.2,24290.9,,,114
2025-04-24 11:00:00,NIFTY,NSE,,,,,24291.0,24297.05,24268.8,24283.65,,,115
2025-04-24 11:30:00,NIFTY,NSE,,,,,24283.6,24287.75,24252.9,24256.1,,,116
2025-04-24 12:00:00,NIFTY,NSE,,,,,24256.75,24271.25,24254.65,24260.9,,,117
2025-04-24 12:30:00,NIFTY,NSE,,,,,24260.65,24273.1,24255.25,24256.15,,,118
2025-04-24 13:00:00,NIFTY,NSE,,,,,24255.75,24273.4,24248.4,24265.55,,,119
2025-04-24 13:30:00,NIFTY,NSE,,,,,24265.6,24271.9,24253.5,24258.05,,,120
2025-04-24 14:00:00,NIFTY,NSE,,,,,24258.55,24263.45,24242.05,24252.85,,,121
2025-04-24 14:30:00,NIFTY,NSE,,,,,24253.8,24263.15,24243.75,24247.75,,,122
2025-04-24 15:00:00,NIFTY,NSE,,,,,24248.4,24249.1,24217.2,24243.45,,,123
2025-04-24 15:30:00,NIFTY,NSE,,,,,24243.95,24259.7,24235.5,24244.7,,,124
2025-04-24 16:00:00,NIFTY,NSE,,,,,24244.7,24246.7,24244.7,24246.7,,,125
2025-04-25 07:30:00,NIFTY,NSE,,,,,24246.7,24246.7,24246.7,24246.7,,,126
2025-04-25 08:00:00,NIFTY,NSE,,,,,24246.7,24246.7,24246.7,24246.7,,,127
2025-04-25 08:30:00,NIFTY,NSE,,,,,24246.7,24246.7,24246.7,24246.7,,,128
2025-04-25 09:00:00,NIFTY,NSE,,,,,24246.7,24246.7,24011.85,24095.45,,,129
2025-04-25 09:30:00,NIFTY,NSE,,,,,24093.9,24364.85,24086.05,24313.1,,,130
2025-04-25 10:00:00,NIFTY,NSE,,,,,24311.85,24314.05,24054.45,24055.8,,,131
2025-04-25 10:30:00,NIFTY,NSE,,,,,24056.45,24056.6,23924.05,23934.9,,,132
2025-04-25 11:00:00,NIFTY,NSE,,,,,23935.65,23997.65,23908.95,23936.0,,,133
2025-04-25 11:30:00,NIFTY,NSE,,,,,23935.75,23950.1,23879.7,23912.25,,,134
2025-04-25 12:00:00,NIFTY,NSE,,,,,23912.3,23927.25,23848.35,23880.4,,,135
2025-04-25 12:30:00,NIFTY,NSE,,,,,23881.3,23962.65,23859.25,23947.15,,,136
2025-04-25 13:00:00,NIFTY,NSE,,,,,23947.15,24033.0,23935.85,24026.8,,,137
2025-04-25 13:30:00,NIFTY,NSE,,,,,24028.65,24071.15,24013.05,24043.85,,,138
2025-04-25 14:00:00,NIFTY,NSE,,,,,24044.15,24149.6,24039.15,24145.7,,,139
2025-04-25 14:30:00,NIFTY,NSE,,,,,24146.1,24150.65,24046.0,24101.7,,,140
2025-04-25 15:00:00,NIFTY,NSE,,,,,24099.3,24101.1,24038.15,24081.6,,,141
2025-04-25 15:30:00,NIFTY,NSE,,,,,24082.95,24085.35,23986.1,23992.45,,,142
2025-04-25 16:00:00,NIFTY,NSE,,,,,23992.45,24039.35,23992.45,24039.35,,,143
2025-04-28 08:30:00,NIFTY,NSE,,,,,24039.35,24039.35,24039.35,24039.35,,,144
2025-04-28 09:00:00,NIFTY,NSE,,,,,24039.35,24159.4,23947.45,24139.65,,,145
2025-04-28 09:30:00,NIFTY,NSE,,,,,24135.95,24181.35,24051.55,24120.15,,,146
2025-04-28 10:00:00,NIFTY,NSE,,,,,24123.4,24231.85,24120.7,24231.85,,,147
2025-04-28 10:30:00,NIFTY,NSE,,,,,24230.9,24282.75,24217.8,24241.5,,,148
2025-04-28 11:00:00,NIFTY,NSE,,,,,24239.6,24282.9,24239.5,24277.5,,,149
2025-04-28 11:30:00,NIFTY,NSE,,,,,24276.95,24282.2,24210.75,24255.4,,,150
2025-04-28 12:00:00,NIFTY,NSE,,,,,24255.4,24288.7,24248.65,24278.4,,,151
2025-04-28 12:30:00,NIFTY,NSE,,,,,24278.55,24350.7,24272.15,24347.8,,,152
2025-04-28 13:00:00,NIFTY,NSE,,,,,24349.45,24354.75,24326.6,24347.6,,,153
2025-04-28 13:30:00,NIFTY,NSE,,,,,24348.35,24352.5,24313.5,24327.85,,,154
2025-04-28 14:00:00,NIFTY,NSE,,,,,24329.85,24351.6,24323.2,24334.65,,,155
2025-04-28 14:30:00,NIFTY,NSE,,,,,24335.45,24353.7,24293.55,24306.0,,,156
2025-04-28 15:00:00,NIFTY,NSE,,,,,24307.5,24332.3,24260.9,24325.9,,,157
